target_pool_id,target_cif_id,target_source,target_density,target_metal_fraction,space,rank,neighbour_pool_id,neighbour_cif_id,neighbour_source,neighbour_density,neighbour_metal_fraction,delta_density
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,proxy_kNN (baseline),1,qmof__core_FATKES_freeONLY,core_FATKES_freeONLY,qmof,0.1090898140190581,0.0408163265306122,-0.0010124789596813039
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,proxy_kNN (baseline),2,qmof__PEKHEU_FSR,PEKHEU_FSR,qmof,0.1069006533401286,0.0408163265306122,-0.0032016396386107954
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,proxy_kNN (baseline),3,coremof__FATKOC_clean,FATKOC_clean,coremof,0.1059964404895304,0.05,-0.004105852489209
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,proxy_kNN (baseline),4,coremof__COYTUG_clean,COYTUG_clean,coremof,0.1049441985067141,0.0454545454545454,-0.005158094472025296
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,proxy_kNN (baseline),5,coremof__CAMROA_clean,CAMROA_clean,coremof,0.1091473050731749,0.048780487804878,-0.0009549879055645027
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,random_kNN (baseline),1,hmof__lim+N193+N25+E167+E168,lim+N193+N25+E167+E168,hmof,0.1463350337003796,0.0051546391752577,0.03623274072164019
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,random_kNN (baseline),2,hmof__dmp+N32+E153,dmp+N32+E153,hmof,0.0555561152892549,0.0204081632653061,-0.0545461776894845
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,random_kNN (baseline),3,qmof__RORVOM_FSR,RORVOM_FSR,qmof,0.0979214082438303,0.0434782608695652,-0.012180884734909095
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,random_kNN (baseline),4,hmof__wli+N482+E13,wli+N482+E13,hmof,0.0676533110995297,0.0579710144927536,-0.0424489818792097
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,random_kNN (baseline),5,hmof__smm+N678+E73,smm+N678+E73,hmof,0.1892052037401491,0.0103092783505154,0.0791029107614097
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (cls),1,qmof__CILDAD_FSR,CILDAD_FSR,qmof,0.0923795861095093,0.0588235294117647,-0.017722706869230095
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (cls),2,qmof__OTEPAF_FSR,OTEPAF_FSR,qmof,0.0508972303004023,0.0454545454545454,-0.0592050626783371
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (cls),3,qmof__VORBUA_FSR,VORBUA_FSR,qmof,0.0431073420032695,0.0416666666666666,-0.0669949509754699
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (cls),4,qmof__JESXEL_FSR,JESXEL_FSR,qmof,0.0557159567250835,0.0555555555555555,-0.0543863362536559
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (cls),5,coremof__NIMVEL_clean,NIMVEL_clean,coremof,0.0891169727022433,0.0588235294117647,-0.020985320276496106
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (raw_cls),1,coremof__DOQHAT_clean,DOQHAT_clean,coremof,0.0512786323895743,0.0625,-0.0588236605891651
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (raw_cls),2,coremof__DOQHIB_clean,DOQHIB_clean,coremof,0.0527003437251295,0.0625,-0.0574019492536099
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (raw_cls),3,qmof__CILDAD_FSR,CILDAD_FSR,qmof,0.0923795861095093,0.0588235294117647,-0.017722706869230095
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (raw_cls),4,qmof__OTEPAF_FSR,OTEPAF_FSR,qmof,0.0508972303004023,0.0454545454545454,-0.0592050626783371
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (raw_cls),5,coremof__NIMVEL_clean,NIMVEL_clean,coremof,0.0891169727022433,0.0588235294117647,-0.020985320276496106
qmof__ABEXUC_FSR,ABEXUC_FSR,qmof,0.1101022929787394,0.0444444444444444,latent (concat),1,qmof__MOCHUI_FSR,MOCHUI_FSR,qmof,0.0297305095216528,0.0833333333333333,-0.08037178345708659
